title,director,actors,coverUrl,releaseDate,rating,length,genre,timesWatched,lastViewedDate
"Avengers","Joss Whedon","Robert Downey Jr.","/movies_pictures/avengers.jpg","2012-05-04","4.75","143","Action","30",""
"Captain America : First Avenger","Joe Johnston","Chris Evans","/movies_pictures/50809-captain-america-the-first-avenger-0-150-0-225-crop.jpg","2011-07-22","3.75","124","Action","10",""
"Captain America : Le Soldat de l'Hiver","Anthony Russo, Joe Russo","Chris Evans","/movies_pictures/captain_america_le_soldat_de_lhiver.jpg","2014-04-04","3.5","136","Action","3",""
"Captain America : Civil War","Anthony Russo, Joe Russo","Chris Evans","/movies_pictures/194402-captain-america-civil-war-0-150-0-225-crop.jpg","2016-05-06","3.75","147","Action","3",""
"Iron Man","Jon Favreau","Robert Downey Jr.","/movies_pictures/50825-iron-man-0-150-0-225-crop.jpg","2008-05-02","4.5","126","Action","20",""
"Iron Man 2","Jon Favreau","Robert Downey Jr.","/movies_pictures/46511-iron-man-2-0-150-0-225-crop.jpg","2010-05-07","3.5","124","Action","5",""
"Iron Man 3","Shane Black","Robert Downey Jr.","/movies_pictures/iron_man_3.jpg","2013-05-03","3.5","130","Action","3",""
"L'Incroyable Hulk","Louis Leterrier","Edward Norton","/movies_pictures/50827-the-incredible-hulk-0-150-0-225-crop.jpg","2008-06-13","3.75","112","Action","10",""
"Thor","Kenneth Branagh","Chris Hemsworth","/movies_pictures/46456-thor-0-150-0-225-crop.jpg","2011-05-06","3","115","Action","1",""
"Doctor Strange","Scott Derrickson","Benedict Cumberbatch","/movies_pictures/209381-doctor-strange-0-150-0-225-crop.jpg","2016-11-04","4","115","Action","5",""
"Les Gardiens de la Galaxie","James Gunn","Chris Pratt","/movies_pictures/93676-guardians-of-the-galaxy-0-150-0-225-crop.jpg","2014-08-01","4.25","121","Action","10",""
"Les Gardiens de la Galaxie Vol. 2","James Gunn","Chris Pratt","/movies_pictures/les_gardiens_de_la_galaxie_2.jpg","2017-05-05","3.5","136","Action","1",""
"Ant-Man","Peyton Reed","Paul Rudd","/movies_pictures/83557-ant-man-0-150-0-225-crop.jpg","2015-07-17","3.75","117","Action","5",""